station_id,station_name,district,address,latitude,longitude,x_meter,y_meter,cluster_id,cluster_label,distance_to_centroid_m,rental_count,meaningful_coordinate_movement,max_distance_m,active_month_count,first_active_month,last_active_month
1158,가양역 8번출구,강서구,서울특별시 강서구 양천로 지하 485,37.56103516,126.85481262,-12109.43555633759,1480.4661657546596,0,cluster_0,5290.304954414365,112880,False,0.0017628954562517,24,2023-01,2024-12
1159,서서울모터리움 앞,강서구,서울특별시 강서구 양천로53길 30,37.56585312,126.84659576,-12833.837686280287,2016.1988745304814,0,cluster_0,6186.742070840499,18802,False,0.00352556065719,24,2023-01,2024-12
1160,양천향교역 7번출구앞,강서구,서울특별시 강서구 양천로 지하 341,37.56768036,126.84089661,-13336.277352873478,2219.3786922922263,0,cluster_0,6699.2152933887255,144099,False,0.0008813702258354,24,2023-01,2024-12
1161,강서면허시험장 앞,강서구,서울특별시 강서구 남부순환로 171,37.54969406,126.819664,-15208.15394663511,219.3933831859719,0,cluster_0,7363.378571393095,11213,False,0.0,24,2023-01,2024-12
1162,공항초등학교건너편,강서구,서울특별시 강서구 마곡서1로 68,37.56267929,126.82047272,-15136.856822120882,1663.2850804981097,0,cluster_0,7876.180797153582,76374,False,0.0017628565529644,24,2023-01,2024-12
1163,방화동강서기동대앞,강서구,서울특별시 강서구 방화대로34길 65,37.57049942,126.82008362,-15171.160055809509,2532.8438621990204,0,cluster_0,8356.11706668101,76925,False,0.0017626692512248,24,2023-01,2024-12
1165,마곡중학교 후문,강서구,서울특별시 강서구 마곡중앙5로 58,37.56844711,126.82164764,-15033.27533837935,2304.637402297369,0,cluster_0,8115.4997431237525,36093,False,0.0035254356423392,24,2023-01,2024-12
1166,강서구립등빛도서관,강서구,서울특별시 강서구 강서로62길 48,37.56256866,126.84246063,-13198.392635443319,1650.9835857635308,0,cluster_0,6236.338818218588,120458,False,0.0026442876347207,24,2023-01,2024-12
1167,마곡수명산파크3단지 교차로,강서구,서울특별시 강서구 수명로 72,37.55350876,126.8258667,-14661.32108208739,643.5686698565318,0,cluster_0,7002.325628670363,101229,False,0.0,24,2023-01,2024-12
1168,마곡엠밸리10단지 앞,강서구,서울특별시 강서구 마곡중앙1로 72,37.56029129,126.8187561,-15288.194825238163,1397.7515956713578,0,cluster_0,7887.818821011113,50156,False,0.0,24,2023-01,2024-12
1169,염창역 1번 출구,강서구,강서구 공항대로 625,37.54719925,126.87448883,-10374.77189733046,-58.016831756641515,0,cluster_0,2972.507438089246,65685,False,0.0026448330529855,24,2023-01,2024-12
117,홍은사거리,서대문구,마포구 서강로1길 30,37.59115982,126.94132996,-4482.027352619002,4830.175524646758,0,cluster_0,7882.1517810312425,76102,False,0.0035243603529324,24,2023-01,2024-12
1170,강서구보건소,강서구,강서구 공항대로 571,37.54917908,126.8687973,-10876.53978124575,162.13021986270803,0,cluster_0,3492.670767572407,24463,False,0.0,24,2023-01,2024-12
1171,염창동 새마을금고 건너편,강서구,강서구 양천로 696,37.55004883,126.87316132,-10491.80578515726,258.84200731154993,0,cluster_0,3279.155421740242,27419,False,0.0017631508905057,24,2023-01,2024-12
1172,가양3동 주민센터,강서구,강서구 허준로 202,37.56124878,126.86058044,-11600.941911183962,1504.219625984261,0,cluster_0,4946.084273864974,45220,False,0.003525778560559,24,2023-01,2024-12
1173,강서구청사거리(SH타워),강서구,강서구 공항대로 411,37.55673599,126.85307312,-12262.790670705745,1002.420272971435,0,cluster_0,5099.084452551094,92028,False,0.0017629949331243,24,2023-01,2024-12
1174,강서구청사거리(부민병원),강서구,강서구 공항대로 395,37.55661392,126.85116577,-12430.943517723166,988.8467082759355,0,cluster_0,5225.277781981254,38136,False,0.0026444989747145,24,2023-01,2024-12
1175,대한항공 인력개발센터,강서구,강서구 공항대로 453,37.55437851,126.85753632,-11869.31292052394,740.2804573053736,0,cluster_0,4627.49972876722,32849,False,0.0017630507076017,23,2023-01,2024-12
1177,수명중?고교,강서구,"강서구 수명로1길 16, 401동 앞",37.55010986,126.82367706,-14854.360744415879,265.62823368425404,0,cluster_0,7044.058506035041,51918,False,0.0035263056229797,24,2023-01,2024-12
1178,개화산역 2번 출구,강서구,강서구 양천로 22,37.57247162,126.8061676,-16398.002733949495,2752.1424965274896,0,cluster_0,9511.244169359905,24700,False,0.0,24,2023-01,2024-12
118,광흥창역 2번출구 앞,마포구,서울특별시 마포구 독막로 지하165,37.54773331,126.9317627,-5325.481363238987,1.3679307670995122,0,cluster_0,3583.4409596323303,18905,False,0.0,24,2023-01,2024-12
1180,마곡엠밸리 15단지(1502동) 건너편,강서구,강서구 마곡중앙로 36,37.55746841,126.82971954,-14321.652948235427,1083.8616611444322,0,cluster_0,6884.079487223743,73228,False,0.0035259574519931,24,2023-01,2024-12
1181,농수산식품공사 (강서지사),강서구,강서구 발산로 40,37.55104446,126.8184967,-15311.063647698742,369.5510121266393,0,cluster_0,7509.279121580325,7724,False,0.0,24,2023-01,2024-12
1182,KBS 스포츠월드,강서구,강서구 공항대로 376,37.55687714,126.84880829,-12638.780031099066,1018.1154368674116,0,cluster_0,5410.941820503259,84294,False,0.0008814980397327,24,2023-01,2024-12
