datetime,cluster_id,cluster_label,rental_count,year_month
2023-01-05 03:00:00,1,cluster_1,150,2023-01
2023-01-05 03:00:00,2,cluster_2,111,2023-01
2023-01-05 04:00:00,0,cluster_0,187,2023-01
2023-01-05 04:00:00,1,cluster_1,112,2023-01
2023-01-05 04:00:00,2,cluster_2,83,2023-01
2023-01-05 05:00:00,0,cluster_0,359,2023-01
2023-01-05 05:00:00,1,cluster_1,193,2023-01
2023-01-05 05:00:00,2,cluster_2,188,2023-01
2023-01-05 06:00:00,0,cluster_0,763,2023-01
2023-01-05 06:00:00,1,cluster_1,342,2023-01
2023-01-05 06:00:00,2,cluster_2,404,2023-01
2023-01-05 07:00:00,0,cluster_0,2014,2023-01
2023-01-05 07:00:00,1,cluster_1,750,2023-01
2023-01-05 07:00:00,2,cluster_2,856,2023-01
2023-01-05 08:00:00,0,cluster_0,3918,2023-01
2023-01-05 08:00:00,1,cluster_1,1346,2023-01
2023-01-05 08:00:00,2,cluster_2,1873,2023-01
2023-01-05 09:00:00,0,cluster_0,1630,2023-01
2023-01-05 09:00:00,1,cluster_1,751,2023-01
2023-01-05 09:00:00,2,cluster_2,1046,2023-01
2023-01-05 10:00:00,0,cluster_0,1048,2023-01
2023-01-05 10:00:00,1,cluster_1,591,2023-01
2023-01-05 10:00:00,2,cluster_2,605,2023-01
2023-01-05 11:00:00,0,cluster_0,1237,2023-01
2023-01-05 11:00:00,1,cluster_1,754,2023-01
2023-01-05 11:00:00,2,cluster_2,671,2023-01
2023-01-05 12:00:00,0,cluster_0,1365,2023-01
2023-01-05 12:00:00,1,cluster_1,753,2023-01
2023-01-05 12:00:00,2,cluster_2,793,2023-01
2023-01-05 13:00:00,0,cluster_0,1311,2023-01
2023-01-05 13:00:00,1,cluster_1,813,2023-01
2023-01-05 13:00:00,2,cluster_2,767,2023-01
2023-01-05 14:00:00,0,cluster_0,1323,2023-01
2023-01-05 14:00:00,1,cluster_1,855,2023-01
2023-01-05 14:00:00,2,cluster_2,695,2023-01
2023-01-05 15:00:00,0,cluster_0,1383,2023-01
2023-01-05 15:00:00,1,cluster_1,870,2023-01
2023-01-05 15:00:00,2,cluster_2,790,2023-01
2023-01-05 16:00:00,0,cluster_0,1733,2023-01
2023-01-05 16:00:00,1,cluster_1,1047,2023-01
2023-01-05 16:00:00,2,cluster_2,977,2023-01
2023-01-05 17:00:00,0,cluster_0,2721,2023-01
2023-01-05 17:00:00,1,cluster_1,1293,2023-01
2023-01-05 17:00:00,2,cluster_2,1314,2023-01
2023-01-05 18:00:00,0,cluster_0,3769,2023-01
2023-01-05 18:00:00,1,cluster_1,1538,2023-01
2023-01-05 18:00:00,2,cluster_2,1893,2023-01
2023-01-05 19:00:00,0,cluster_0,2184,2023-01
2023-01-05 19:00:00,1,cluster_1,1034,2023-01
2023-01-05 19:00:00,2,cluster_2,1198,2023-01
2023-01-05 20:00:00,0,cluster_0,1692,2023-01
2023-01-05 20:00:00,1,cluster_1,790,2023-01
2023-01-05 20:00:00,2,cluster_2,928,2023-01
2023-01-05 21:00:00,0,cluster_0,1574,2023-01
2023-01-05 21:00:00,1,cluster_1,731,2023-01
2023-01-05 21:00:00,2,cluster_2,763,2023-01
2023-01-05 22:00:00,0,cluster_0,1241,2023-01
2023-01-05 22:00:00,1,cluster_1,672,2023-01
2023-01-05 22:00:00,2,cluster_2,724,2023-01
2023-01-05 23:00:00,0,cluster_0,807,2023-01
2023-01-05 23:00:00,1,cluster_1,506,2023-01
2023-01-05 23:00:00,2,cluster_2,480,2023-01
2023-01-06 00:00:00,0,cluster_0,647,2023-01
2023-01-06 00:00:00,1,cluster_1,376,2023-01
2023-01-06 00:00:00,2,cluster_2,382,2023-01
2023-01-06 01:00:00,0,cluster_0,475,2023-01
2023-01-06 01:00:00,1,cluster_1,341,2023-01
2023-01-06 01:00:00,2,cluster_2,300,2023-01
2023-01-06 02:00:00,0,cluster_0,288,2023-01
2023-01-06 02:00:00,1,cluster_1,219,2023-01
2023-01-06 02:00:00,2,cluster_2,165,2023-01
2023-01-06 03:00:00,0,cluster_0,157,2023-01
2023-01-06 03:00:00,1,cluster_1,150,2023-01
2023-01-06 03:00:00,2,cluster_2,119,2023-01
2023-01-06 04:00:00,0,cluster_0,174,2023-01
2023-01-06 04:00:00,1,cluster_1,139,2023-01
2023-01-06 04:00:00,2,cluster_2,83,2023-01
2023-01-06 05:00:00,0,cluster_0,355,2023-01
2023-01-06 05:00:00,1,cluster_1,194,2023-01
2023-01-06 05:00:00,2,cluster_2,186,2023-01
2023-01-06 06:00:00,0,cluster_0,754,2023-01
2023-01-06 06:00:00,1,cluster_1,354,2023-01
2023-01-06 06:00:00,2,cluster_2,373,2023-01
2023-01-06 07:00:00,0,cluster_0,1983,2023-01
